id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,prob_func,prob_repair,prob_nonfunc,dist_nearest_functional_km,n_nonfunc_in_area,priority_score,likelihood_nonfunc,impact_score,score_population,score_dist_nearest_functional_km,score_n_nonfunc_in_area,score_quantity
13390,0.0,2013-01-26,Fini Water,359,FINI WATER,38.92499903,-10.17250674,Nnonda,0,Ruvuma / Southern Coast,Mbondeni Road,Lindi,80,53,Ruangwa,Likunja,1200.0,True,GeoData Consultants Ltd,VWC,,False,1981,other,other,other,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,0.003199256333996913,0.0005359576228965692,0.9962647860431065,19.127384131465767,16.0,93.3,0.996,9.4,9.8,9.6,7.1,10
46539,0.0,2013-01-19,Fini Water,319,Fini Water,38.49531084,-10.28313057,Kisima Cha Nanondondo,0,Ruvuma / Southern Coast,Nanondondo,Lindi,8,3,Nachingwea,Mtua,580.0,True,GeoData Consultants Ltd,VWC,,False,1988,other,other,other,vwc,user-group,never pay,never pay,milky,milky,enough,enough,shallow well,shallow well,groundwater,other,other,0.0037981175463962526,0.0013571924453803276,0.9948446900082234,24.65683403230814,18.0,92.6,0.995,9.3,9.4,9.7,7.5,10
69597,0.0,2013-01-30,Fini Water,273,FiNI WATER,38.9308566,-10.06108432,Liabaka,0,Ruvuma / Southern Coast,Tandale,Lindi,80,53,Ruangwa,Ruangwa,560.0,True,GeoData Consultants Ltd,VWC,,True,1979,other,other,other,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,0.0012924336077630519,8.430665204806275e-05,0.9986232597401888,22.403815173519934,13.0,91.1,0.999,9.1,9.4,9.7,6.3,10
15227,0.0,2013-02-21,Amref,142,Amref,39.9532489,-10.71549117,Msikitini,0,Ruvuma / Southern Coast,Umoja,Mtwara,99,1,Mtwara Rural,Kiromba,580.0,True,GeoData Consultants Ltd,VWC,Mkahara water supply,True,2012,mono,mono,motorpump,vwc,user-group,unknown,unknown,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.01607341294731596,0.0002582840437182308,0.9836683030089657,18.39340385227253,18.0,91.1,0.984,9.3,9.4,9.5,7.5,10
16908,0.0,2013-02-08,Ministry Of Water,1306,Idara ya maji,34.56625325,-5.79261634,Kwa Ponaga Weja,0,Rufiji,Msumbiji,Singida,13,3,Manyoni,Ipande,650.0,True,GeoData Consultants Ltd,VWC,Ipande water supply,False,1972,mono,mono,motorpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.0044154925789015856,0.0081602632751862,0.9874242441459122,28.34722022211016,12.0,90.5,0.987,9.2,9.5,9.8,6.1,10
64167,0.0,2013-02-08,Ministry Of Water,1306,Idara ya maji,34.57491529,-5.79269836,Zahanati,0,Rufiji,Ipande Kati,Singida,13,3,Manyoni,Ipande,560.0,True,GeoData Consultants Ltd,VWC,Ipande water supply,False,1972,mono,mono,motorpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.0033618081396937726,0.007718036112956644,0.9889201557473496,28.033562246255208,12.0,90.1,0.989,9.1,9.4,9.8,6.1,10
12837,300.0,2013-01-27,Fini Water,388,FINI WATER,38.93656822,-10.19229763,Mchikichini,0,Ruvuma / Southern Coast,Mpumbe,Lindi,80,53,Ruangwa,Nkowe,520.0,True,GeoData Consultants Ltd,VWC,,False,1979,other,other,other,vwc,user-group,pay monthly,monthly,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,0.021532996016075404,0.005726928345889666,0.972740075638035,18.569347929481907,16.0,89.1,0.973,9.2,9.3,9.5,7.1,10
69347,0.0,2013-02-10,Fini Water,14,Fini water,40.18722699,-10.42891161,Fini Water,0,Ruvuma / Southern Coast,Minyembe,Mtwara,99,1,Mtwara Rural,Ziwani,700.0,True,GeoData Consultants Ltd,,,True,1971,other,other,other,vwc,user-group,unknown,unknown,milky,milky,enough,enough,shallow well,shallow well,groundwater,other,other,0.004780272633153586,0.0008479828909476347,0.9943717444758988,6.710624596008127,18.0,88.4,0.994,8.9,9.5,7.8,7.5,10
66675,0.0,2013-02-17,Fini Water,53,Fini water,40.23056507,-10.45361151,Kisima Chamayaya,0,Ruvuma / Southern Coast,Bwawani,Mtwara,99,1,Mtwara Rural,Ziwani,1600.0,True,GeoData Consultants Ltd,,,True,1985,other,other,other,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.03339228808500455,0.0008749373166690402,0.9657327745983265,8.910760244475297,16.0,88.0,0.966,9.1,9.9,8.4,7.1,10
4584,0.0,2013-01-26,District Council,344,District water department,38.91133971,-10.16960384,Mtutumu,0,Ruvuma / Southern Coast,Mnazi Moja,Lindi,80,53,Ruangwa,Likunja,3220.0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,0.060011154069137575,0.00335750513040821,0.9366313408004542,18.375375370396178,15.0,87.9,0.937,9.4,10.0,9.5,6.8,10
34010,0.0,2013-01-17,Hesawa,1143,DWE,33.58673307,-2.17075645,Kwa Obadia Kakuru,0,Lake Victoria,Kati,Mara,20,4,Bunda,Butimba,500.0,True,GeoData Consultants Ltd,WUG,,False,1996,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,0.0016859680741532683,0.0001285561050825973,0.9981854758207641,7.01996867612259,25.0,87.8,0.998,8.8,8.8,7.9,8.6,10
34537,0.0,2013-02-20,Amref,192,Amref,39.84853971,-10.64024396,Kwa Mzee Mnungu,0,Ruvuma / Southern Coast,Majengo,Mtwara,99,1,Mtwara Rural,Mtiniko,600.0,True,GeoData Consultants Ltd,VWC,Mtopwa water supply,True,2012,mono,mono,motorpump,vwc,user-group,unknown,unknown,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0.03352332859908232,0.0014180451625341493,0.9650586262383837,8.742840196476257,21.0,87.7,0.965,9.1,9.4,8.4,8.2,10
